"date"	"ws"	"wd"	"nox"	"no2"	"o3"	"pm10"	"so2"	"co"	"pm25"
"1"	1998-01-01 00:00:00	0.6	280	285	39	1	29	4.7225	3.3725	NA
"2"	1998-01-01 01:00:00	2.16	230	NA	NA	NA	37	NA	NA	NA
"3"	1998-01-01 02:00:00	2.76	190	NA	NA	3	34	6.83	9.6025	NA
"4"	1998-01-01 03:00:00	2.16	170	493	52	3	35	7.6625	10.2175	NA
"5"	1998-01-01 04:00:00	2.4	180	468	78	2	34	8.07	8.9125	NA
"6"	1998-01-01 05:00:00	3	190	264	42	0	16	5.505	3.0525	NA
"7"	1998-01-01 06:00:00	3	140	171	38	0	11	4.23	2.265	NA
"8"	1998-01-01 07:00:00	3	170	195	51	0	12	3.875	1.995	NA
"9"	1998-01-01 08:00:00	3.36	170	137	42	1	12	3.3475	1.455	NA
"10"	1998-01-01 09:00:00	3.96	170	113	39	2	12	2.9225	1.205	NA
"11"	1998-01-01 10:00:00	6.36	180	100	34	7	10	3.06	0.9825	NA
"12"	1998-01-01 11:00:00	8.16	190	109	38	8	11	1.7475	1.43	NA
"13"	1998-01-01 12:00:00	7.2	180	110	41	9	13	1.375	1.405	NA
"14"	1998-01-01 13:00:00	8.76	190	108	42	8	17	1.75	1.675	NA
"15"	1998-01-01 14:00:00	10.56	190	119	49	9	20	2.2575	1.895	NA
"16"	1998-01-01 15:00:00	12	190	89	32	9	18	2.125	1.575	NA
"17"	1998-01-01 16:00:00	12	180	74	32	12	17	1.9525	1.205	NA
"18"	1998-01-01 17:00:00	13.2	180	55	24	14	13	1.5125	1.18	NA
"19"	1998-01-01 18:00:00	15.6	180	54	27	16	9	1.0875	0.9575	NA
"20"	1998-01-01 19:00:00	14.16	180	42	24	18	10	0.9525	0.885	NA
"21"	1998-01-01 20:00:00	10.56	190	62	27	16	14	1.19	1.105	NA
"22"	1998-01-01 21:00:00	6.36	240	88	38	10	12	1.51	1.7475	NA
"23"	1998-01-01 22:00:00	5.76	220	147	42	4	20	2.4975	2.1875	NA
"24"	1998-01-01 23:00:00	6.96	220	104	35	6	20	2.3275	1.775	NA
"25"	1998-01-02 00:00:00	7.2	220	107	38	8	29	2.5325	1.65	NA
"26"	1998-01-02 01:00:00	7.56	210	NA	NA	NA	31	NA	NA	NA
"27"	1998-01-02 02:00:00	7.2	210	63	27	14	33	2.3075	0.8875	NA
"28"	1998-01-02 03:00:00	5.76	210	45	20	15	31	2.225	0.59	NA
"29"	1998-01-02 04:00:00	5.16	190	49	23	14	31	2.4125	0.64	NA
"30"	1998-01-02 05:00:00	6.36	190	51	23	12	31	2.6325	0.665	NA
"31"	1998-01-02 06:00:00	8.16	180	49	26	13	19	2.4125	0.59	NA
"32"	1998-01-02 07:00:00	9.360001	160	88	37	7	13	2.7375	1.0575	NA
"33"	1998-01-02 08:00:00	9.360001	180	104	38	7	20	3.1425	1.235	NA
"34"	1998-01-02 09:00:00	7.8	200	181	50	6	32	4.535	1.7725	NA
"35"	1998-01-02 10:00:00	8.16	200	209	58	5	31	5.995	2.2875	NA
"36"	1998-01-02 11:00:00	8.16	220	208	53	4	27	6.135	2.2625	NA
"37"	1998-01-02 12:00:00	6.6	240	94	39	6	17	4.5725	1.625	NA
"38"	1998-01-02 13:00:00	5.76	320	50	24	12	11	2.7	0.7875	NA
"39"	1998-01-02 14:00:00	5.76	300	91	32	4	19	2.955	1.53	NA
"40"	1998-01-02 15:00:00	6	280	101	38	4	18	3.535	1.745	NA
"41"	1998-01-02 16:00:00	5.16	280	171	56	2	23	4.2625	2.4125	NA
"42"	1998-01-02 17:00:00	7.8	270	249	49	2	32	5.8275	3.2275	NA
"43"	1998-01-02 18:00:00	7.8	250	238	51	1	37	5.8275	3.1775	NA
"44"	1998-01-02 19:00:00	7.56	250	241	46	1	39	5.9275	3.15	NA
"45"	1998-01-02 20:00:00	7.8	250	212	50	2	39	5.5225	3.0275	NA
"46"	1998-01-02 21:00:00	7.2	230	148	43	2	36	4.535	2.285	NA
"47"	1998-01-02 22:00:00	6.6	220	147	49	4	34	4.0775	2.0925	NA
"48"	1998-01-02 23:00:00	5.4	210	134	38	4	33	3.9225	1.9675	NA
"49"	1998-01-03 00:00:00	5.76	200	156	48	4	34	4.1125	1.97	NA
"50"	1998-01-03 01:00:00	4.8	190	NA	NA	NA	32	NA	NA	NA
"51"	1998-01-03 02:00:00	6.6	190	58	28	10	27	2.5125	0.79	NA
"52"	1998-01-03 03:00:00	8.16	180	52	22	15	23	2.2575	0.715	NA
"53"	1998-01-03 04:00:00	10.56	200	45	19	16	16	2.0875	0.64	NA
"54"	1998-01-03 05:00:00	11.16	190	35	16	19	8	1.65	0.49	NA
"55"	1998-01-03 06:00:00	10.56	190	51	22	14	6	1.6825	0.665	NA
"56"	1998-01-03 07:00:00	10.56	190	80	25	10	9	2.155	0.8875	NA
"57"	1998-01-03 08:00:00	12	200	95	35	8	12	2.7525	1.305	NA
"58"	1998-01-03 09:00:00	10.2	250	132	46	6	13	3.2275	1.77	NA
"59"	1998-01-03 10:00:00	13.2	230	109	44	9	15	3.4825	1.625	NA
"60"	1998-01-03 11:00:00	14.76	250	127	39	NA	13	3.286667	1.643333	NA
"61"	1998-01-03 12:00:00	16.2	250	150	48	6	20	3.99	2.0675	NA
"62"	1998-01-03 13:00:00	16.56	250	151	51	8	19	4.1275	2.1675	NA
"63"	1998-01-03 14:00:00	14.76	250	143	52	8	22	3.9575	2.19	NA
"64"	1998-01-03 15:00:00	12	250	203	56	5	20	3.89	2.7825	NA
"65"	1998-01-03 16:00:00	14.16	240	171	44	5	21	4.585	2.635	NA
"66"	1998-01-03 17:00:00	15	230	156	35	7	18	4.125	2.4125	NA
"67"	1998-01-03 18:00:00	11.16	230	151	38	5	22	3.8225	2.535	NA
"68"	1998-01-03 19:00:00	10.8	230	149	40	5	28	3.585	2.3125	NA
"69"	1998-01-03 20:00:00	10.8	230	130	43	7	29	3.2275	2.14	NA
"70"	1998-01-03 21:00:00	9.6	230	105	32	8	22	2.905	1.7725	NA
"71"	1998-01-03 22:00:00	7.8	240	146	46	6	25	2.955	2.19	NA
"72"	1998-01-03 23:00:00	7.2	220	169	44	4	30	3.315	2.3625	NA
"73"	1998-01-04 00:00:00	6.36	240	162	43	5	22	3.28	2.24	NA
"74"	1998-01-04 01:00:00	9	260	NA	NA	NA	17	NA	NA	NA
"75"	1998-01-04 02:00:00	8.4	250	78	29	12	10	2.1875	1.305	NA
"76"	1998-01-04 03:00:00	6.96	250	113	30	8	15	2.19	1.55	NA
"77"	1998-01-04 04:00:00	6	230	113	36	8	15	2.125	1.3775	NA
"78"	1998-01-04 05:00:00	6	220	86	29	10	18	2.005	1.08	NA
"79"	1998-01-04 06:00:00	3.96	190	94	34	7	25	2.5325	1.03	NA
"80"	1998-01-04 07:00:00	5.16	160	103	41	4	28	2.1225	1.1075	NA
"81"	1998-01-04 08:00:00	10.2	170	44	22	13	26	1.85	0.665	NA
"82"	1998-01-04 09:00:00	11.76	190	56	29	15	25	2.005	0.715	NA
"83"	1998-01-04 10:00:00	8.76	190	155	45	9	20	2.5125	1.7975	NA
"84"	1998-01-04 11:00:00	8.76	190	188	42	4	23	3.82	2.7075	NA
"85"	1998-01-04 12:00:00	11.16	190	84	32	9	21	3.16	1.355	NA
"86"	1998-01-04 13:00:00	11.16	190	86	34	10	21	3.195	1.455	NA
"87"	1998-01-04 14:00:00	13.8	190	146	39	12	27	4.045	2.5375	NA
"88"	1998-01-04 15:00:00	15.96	210	123	36	12	27	4.365	2.3875	NA
